,equity,drawdown,capital
2020-10-12,107914.89024230519,-0.0034011398457563452,135269.8996477689
2020-10-13,110106.85188502641,0.0,135269.8996477689
2020-10-14,110330.56684679915,0.0,135269.8996477689
2020-10-15,109671.47590020175,-0.005973783743108881,135269.8996477689
2020-10-16,110178.88007119474,-0.0013748390853011295,135269.8996477689
2020-10-19,111612.91202877222,0.0,135269.8996477689
2020-10-20,113382.84153461731,0.0,135269.8996477689
2020-10-21,113209.26529060026,-0.0015308863463618161,135269.8996477689
2020-10-22,113409.36082973002,0.0,135269.8996477689
2020-10-23,111897.52140426294,-0.013330816913225739,135269.8996477689
2020-10-26,110905.41077356024,-0.022078865781892085,135269.8996477689
2020-10-27,110881.2186793631,-0.02229218233724653,135269.8996477689
2020-10-28,110880.843300533,-0.02229549228298073,135269.8996477689
2020-10-29,111718.46327023335,-0.014909682473524803,135269.8996477689
2020-10-30,112386.75197149004,-0.009016970475438106,135269.8996477689
2020-11-02,113102.35186393339,-0.0027070866421473492,135269.8996477689
2020-11-03,112789.36819824623,-0.005466855883392512,135269.8996477689
2020-11-04,113680.569846851,0.0,135269.8996477689
2020-11-05,113265.33732530012,-0.003652625264900337,135269.8996477689
2020-11-06,114049.62949038573,0.0,135269.8996477689
2020-11-09,116135.6675304932,0.0,135269.8996477689
2020-11-10,118075.0427749251,0.0,135269.8996477689
2020-11-11,117047.66050724564,-0.008701095875424326,135269.8996477689
2020-11-12,118500.97736164098,0.0,135269.8996477689
2020-11-13,119972.60361080107,0.0,135269.8996477689
2020-11-16,120333.46440625879,0.0,135269.8996477689
2020-11-17,119529.14085021465,-0.006684121993933921,135269.8996477689
2020-11-18,117306.98460167751,-0.025150774304673516,135269.8996477689
2020-11-19,119360.60780178204,-0.008084672117411007,135269.8996477689
2020-11-20,117220.67503326881,-0.0258680275545036,135269.8996477689
2020-11-23,120921.47598906307,0.0,135269.8996477689
2020-11-24,121258.04901648739,0.0,135269.8996477689
2020-11-25,118779.10973885171,-0.020443502907577075,135269.8996477689
2020-11-26,118524.56587874664,-0.022542694360595257,135269.8996477689
2020-11-27,118449.43526067318,-0.023162287193259405,135269.8996477689
2020-11-30,116818.65747750945,-0.036611108087136725,135269.8996477689
2020-12-01,118330.92030464925,-0.024139665247625286,135269.8996477689
2020-12-02,118651.69237011799,-0.021494298048742443,135269.8996477689
2020-12-03,118032.28830029258,-0.026602446125091505,135269.8996477689
2020-12-04,116698.59848268115,-0.037601219636861374,135269.8996477689
2020-12-07,118118.58737466973,-0.025890748426859386,135269.8996477689
